sex,age,place_birth_canada,n,bornin_canada
Male,77,Born outside Canada,5,No
Male,77,Born in Canada,8,Yes
Male,77,Born in Canada,10,Yes
Male,77,Born outside Canada,3,No
Male,77,Don't know,1,NA
Male,77,Born in Canada,2,Yes
Male,77,Born in Canada,7,Yes
Male,77,Born outside Canada,1,No
Male,77,Born in Canada,5,Yes
Male,77,Born outside Canada,1,No
Male,77,Born in Canada,6,Yes
Male,77,Born outside Canada,1,No
Male,77,Born in Canada,12,Yes
Male,77,Born outside Canada,4,No
Male,77,Born in Canada,5,Yes
Male,78,Born in Canada,8,Yes
Male,78,Born in Canada,7,Yes
Male,78,Born outside Canada,1,No
Male,78,Born in Canada,9,Yes
Male,78,Born in Canada,8,Yes
Male,78,Born outside Canada,3,No
Male,78,Born in Canada,3,Yes
Male,78,Born outside Canada,2,No
Male,78,Born in Canada,4,Yes
Male,78,Born outside Canada,2,No
Male,78,Born in Canada,4,Yes
Male,78,Born outside Canada,2,No
Male,78,"NA",1,NA
Male,78,Born in Canada,9,Yes
Male,78,Born outside Canada,1,No
Male,78,Born in Canada,13,Yes
Male,78,Born outside Canada,1,No
Male,78,Born in Canada,3,Yes
Male,78,Born outside Canada,1,No
Male,79,Born in Canada,8,Yes
Male,79,Born outside Canada,4,No
Male,79,Born in Canada,6,Yes
Male,79,Born outside Canada,3,No
Male,79,Born in Canada,3,Yes
Male,79,Born in Canada,12,Yes
Male,79,Born outside Canada,2,No
Male,79,Born in Canada,6,Yes
Male,79,Born in Canada,7,Yes
Male,79,Born outside Canada,2,No
Male,79,Born in Canada,3,Yes
Male,79,Born outside Canada,2,No
Male,79,Born in Canada,1,Yes
Male,79,Born outside Canada,1,No
Male,79,Born in Canada,6,Yes
Male,79,Born outside Canada,4,No
Male,79,Born in Canada,8,Yes
Male,79,Born outside Canada,1,No
Male,80,Born in Canada,341,Yes
Male,80,Born outside Canada,93,No
Male,80,"NA",3,NA
